Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
77,19,3,22,0,Some Random Commen with Id 77
78,19,3,108,0,Some Random Commen with Id 78
79,19,3,88,7,Some Random Commen with Id 79
80,19,3,186,6,Some Random Commen with Id 80
81,20,0,106,1,Some Random Commen with Id 81
82,20,0,181,6,Some Random Commen with Id 82
83,20,0,147,8,Some Random Commen with Id 83
84,20,0,25,8,Some Random Commen with Id 84
85,20,0,125,4,Some Random Commen with Id 85
86,20,0,115,3,Some Random Commen with Id 86
87,20,0,194,0,Some Random Commen with Id 87
88,21,3,87,0,Some Random Commen with Id 88
89,21,3,68,0,Some Random Commen with Id 89
90,21,3,58,0,Some Random Commen with Id 90
91,21,3,174,7,Some Random Commen with Id 91
92,22,9,34,0,Some Random Commen with Id 92
93,22,9,168,4,Some Random Commen with Id 93
94,22,9,91,8,Some Random Commen with Id 94
95,22,9,85,5,Some Random Commen with Id 95
96,22,9,20,1,Some Random Commen with Id 96
97,22,9,13,5,Some Random Commen with Id 97
98,24,6,70,5,Some Random Commen with Id 98
99,24,6,42,6,Some Random Commen with Id 99
100,24,6,5,9,Some Random Commen with Id 100
101,24,6,48,2,Some Random Commen with Id 101
102,24,6,93,4,Some Random Commen with Id 102
103,24,6,98,0,Some Random Commen with Id 103
104,25,3,11,8,Some Random Commen with Id 104
105,25,3,88,4,Some Random Commen with Id 105
106,25,3,91,3,Some Random Commen with Id 106
107,26,4,182,5,Some Random Commen with Id 107
108,27,4,69,7,Some Random Commen with Id 108
109,28,6,66,9,Some Random Commen with Id 109
110,28,6,144,7,Some Random Commen with Id 110
111,28,6,112,1,Some Random Commen with Id 111
112,28,6,130,1,Some Random Commen with Id 112
113,28,6,153,0,Some Random Commen with Id 113
114,29,3,34,3,Some Random Commen with Id 114
115,29,3,135,2,Some Random Commen with Id 115
116,29,3,73,5,Some Random Commen with Id 116
117,29,3,182,1,Some Random Commen with Id 117
118,31,8,7,3,Some Random Commen with Id 118
119,31,8,132,9,Some Random Commen with Id 119
120,31,8,174,8,Some Random Commen with Id 120
121,31,8,193,3,Some Random Commen with Id 121
122,31,8,101,8,Some Random Commen with Id 122
123,32,9,162,7,Some Random Commen with Id 123
124,32,9,125,2,Some Random Commen with Id 124
125,32,9,181,7,Some Random Commen with Id 125
126,32,9,7,9,Some Random Commen with Id 126
127,32,9,78,4,Some Random Commen with Id 127
128,32,9,80,0,Some Random Commen with Id 128
129,33,8,199,4,Some Random Commen with Id 129
130,33,8,183,0,Some Random Commen with Id 130
131,33,8,2,5,Some Random Commen with Id 131
132,33,8,199,2,Some Random Commen with Id 132
133,33,8,61,5,Some Random Commen with Id 133
134,33,8,62,7,Some Random Commen with Id 134
135,33,8,44,8,Some Random Commen with Id 135
136,33,8,96,8,Some Random Commen with Id 136
137,33,8,60,8,Some Random Commen with Id 137
138,34,9,3,1,Some Random Commen with Id 138
139,34,9,41,0,Some Random Commen with Id 139
140,34,9,128,3,Some Random Commen with Id 140
141,34,9,114,1,Some Random Commen with Id 141
142,34,9,109,5,Some Random Commen with Id 142
143,34,9,143,8,Some Random Commen with Id 143
144,34,9,137,3,Some Random Commen with Id 144
145,35,1,58,4,Some Random Commen with Id 145
146,35,1,16,3,Some Random Commen with Id 146
147,35,1,135,3,Some Random Commen with Id 147
148,35,1,191,5,Some Random Commen with Id 148
149,35,1,92,2,Some Random Commen with Id 149
150,35,1,5,6,Some Random Commen with Id 150
151,35,1,127,5,Some Random Commen with Id 151
152,36,5,79,7,Some Random Commen with Id 152
153,36,5,48,5,Some Random Commen with Id 153
154,37,8,138,8,Some Random Commen with Id 154
155,37,8,153,7,Some Random Commen with Id 155
156,37,8,174,2,Some Random Commen with Id 156
157,37,8,14,2,Some Random Commen with Id 157
158,38,2,178,8,Some Random Commen with Id 158
159,38,2,14,6,Some Random Commen with Id 159
160,38,2,30,7,Some Random Commen with Id 160
161,38,2,63,7,Some Random Commen with Id 161
162,38,2,117,7,Some Random Commen with Id 162
163,38,2,120,3,Some Random Commen with Id 163
164,38,2,167,1,Some Random Commen with Id 164
165,38,2,186,7,Some Random Commen with Id 165
166,38,2,13,4,Some Random Commen with Id 166
167,39,9,110,7,Some Random Commen with Id 167
168,39,9,43,4,Some Random Commen with Id 168
169,39,9,24,8,Some Random Commen with Id 169
170,39,9,87,4,Some Random Commen with Id 170
171,39,9,11,9,Some Random Commen with Id 171
172,39,9,144,7,Some Random Commen with Id 172
173,39,9,23,1,Some Random Commen with Id 173
174,39,9,110,9,Some Random Commen with Id 174
